branch,beta,u0,v0,u_min,u_max,mu1_real,mu1_imag,mu1_abs,mu2_real,mu2_imag,mu2_abs,shooting_residual,liouville_defect,newton_iterations
minus,0.34,-2.139236027432926,0.5703921981723813,-2.401617243567816,-0.9532741544466161,0.03435558219899861,0.3312415619145076,0.3330184354773692,0.03435558219899861,-0.3312415619145076,0.3330184354773692,6.661338147750939e-16,3.5994401903494122e-12,4
minus,0.35000000000000003,-2.149685931012879,0.5822679900770533,-2.4156191568908136,-0.9326372721168363,0.022594204498482283,0.33225108019506444,0.3330184354772366,0.022594204498482283,-0.33225108019506444,0.3330184354772366,2.220446049250313e-15,3.511135826528289e-12,4
minus,0.36,-2.1600057311917333,0.593752334061747,-2.4292025504651824,-0.9122248216758286,0.010235680649479176,0.3328610959682323,0.3330184354769731,0.010235680649479176,-0.3328610959682323,0.3330184354769731,8.881784197001252e-16,3.3357067108497063e-12,4
minus,0.37,-2.1701887340144936,0.6048424454158904,-2.4423643584369774,-0.8920415035955461,-0.002737845428786821,0.33300718095773635,0.33301843547619175,-0.002737845428786821,-0.33300718095773635,0.33301843547619175,4.440892098500626e-16,2.815234156905433e-12,4
minus,0.38,-2.180228166607473,0.6155364343497364,-2.455102183287184,-0.8720915049595476,-0.016343950043394097,0.33261712773728896,0.3330184354765138,-0.016343950043394097,-0.33261712773728896,0.3330184354765138,1.1102230246251565e-16,3.0297153674752053e-12,4
minus,0.39,-2.1901172254238683,0.625833299286816,-2.4674142966794026,-0.8523784859480426,-0.030599849938005998,0.3316096011130539,0.3330184354755562,-0.030599849938005998,-0.3316096011130539,0.3330184354755562,2.220446049250313e-15,2.3919755065548998e-12,4
minus,0.4,-2.1998491237506443,0.6357329133234549,-2.4792996404008028,-0.8329055701581013,-0.04552232309981854,0.3298924013451915,0.33301843547422594,-0.04552232309981854,-0.3298924013451915,0.33301843547422594,9.992007221626409e-16,1.5060175329040248e-12,4
zero,0.0,0.0,0.0,0.0,0.0,196.19589098232788,0.0,196.19589098232788,0.0005652579060182461,0.0,0.0005652579060182461,0.0,1.393858500842171e-10,1
zero,0.01,-0.0048514690245291935,0.0008490195898437504,-0.00492518105009999,0.00492518104844433,196.17380086183704,0.0,196.17380086183704,0.0005653215563512504,0.0,0.0005653215563512504,4.996003610813204e-16,5.690833915217297e-11,5
zero,0.02,-0.00970320157112272,0.0016981603651269632,-0.009850640815930501,0.009850640806296029,196.10754382453183,0.0,196.10754382453183,0.0005655125561929708,0.0,0.0005655125561929708,6.74807432154978e-16,3.0695584962714406e-11,5
zero,0.03,-0.014555461219182698,0.0025475435482163727,-0.014776657990304138,0.014776658014722442,195.9971598752245,0.0,195.9971598752245,0.0005658310480782802,0.0,0.0005658310480782802,2.6471880243406076e-15,2.8157337572665142e-11,5
zero,0.04,-0.019408511662577427,0.003397290435187569,-0.019703511532718796,0.01970351154120918,195.8427156433354,0.0,195.8427156433354,0.0005662772701242602,0.0,0.0005662772701242602,3.406996906818449e-15,2.4636154227763996e-11,5
zero,0.05,-0.024262616767564582,0.004247522433444957,-0.024631480536977758,0.024631480500321417,195.6443043246137,0.0,195.6443043246137,0.0005668515562859966,0.0,0.0005668515562859966,2.1337098754514727e-15,1.8008178281903042e-11,5
zero,0.06,-0.029118040629512662,0.005098361097911887,-0.029560844190927433,0.02956084419854167,195.40204559529514,0.0,195.40204559529514,0.0005675543367260616,0.0,0.0005675543367260616,5.745404152435185e-15,2.043305802335027e-11,5
zero,0.07,-0.033975047630989096,0.005949928168790099,-0.03449188226838346,0.034491882274501215,195.11608550306303,0.0,195.11608550306303,0.0005683861384255806,0.0,0.0005683861384255806,2.983724378680108e-16,1.8115356437142793e-11,5
zero,0.08,-0.03883390249934275,0.006802345608705475,-0.039424874744631695,0.03942487474771069,194.78659633387105,0.0,194.78659633387105,0.0005693475858379315,0.0,0.0005693475858379315,1.7465195956134494e-14,1.0798070770867696e-11,5
zero,0.09,-0.04369487036424762,0.007655735639724176,-0.04436010207673668,0.04436010207862538,194.41377645408915,0.0,194.41377645408915,0.0005704394019829806,0.0,0.0005704394019829806,2.7304547511874944e-14,1.2900361334722277e-11,5
